"day","month","grad_Tmean","grad_Tmin","grad_Tmax"
8,3,0.56,0.406,0.736
9,3,0.562,0.406,0.739
10,3,0.564,0.407,0.742
11,3,0.566,0.408,0.745
12,3,0.567,0.409,0.748
13,3,0.569,0.41,0.75
14,3,0.57,0.411,0.753
15,3,0.572,0.412,0.756
16,3,0.573,0.413,0.758
17,3,0.575,0.414,0.761
18,3,0.576,0.415,0.763
19,3,0.577,0.416,0.765
20,3,0.579,0.417,0.767
21,3,0.58,0.417,0.769
22,3,0.581,0.418,0.771
23,3,0.582,0.419,0.773
24,3,0.583,0.42,0.774
25,3,0.584,0.421,0.776
26,3,0.585,0.422,0.777
27,3,0.586,0.422,0.779
28,3,0.587,0.423,0.78
29,3,0.588,0.424,0.781
30,3,0.589,0.425,0.782
31,3,0.59,0.425,0.783
1,4,0.591,0.426,0.784
2,4,0.591,0.427,0.785
3,4,0.592,0.427,0.785
4,4,0.593,0.428,0.786
5,4,0.593,0.429,0.787
6,4,0.594,0.429,0.787
7,4,0.595,0.43,0.787
8,4,0.595,0.431,0.788
9,4,0.596,0.431,0.788
10,4,0.596,0.432,0.788
11,4,0.597,0.432,0.788
12,4,0.597,0.433,0.788
13,4,0.597,0.433,0.788
14,4,0.598,0.434,0.788
15,4,0.598,0.434,0.788
16,4,0.598,0.435,0.787
17,4,0.599,0.435,0.787
18,4,0.599,0.436,0.787
19,4,0.599,0.436,0.786
20,4,0.599,0.436,0.786
21,4,0.6,0.437,0.785
22,4,0.6,0.437,0.785
23,4,0.6,0.437,0.784
24,4,0.6,0.438,0.784
25,4,0.6,0.438,0.783
26,4,0.601,0.438,0.783
27,4,0.601,0.438,0.782
28,4,0.601,0.439,0.781
29,4,0.601,0.439,0.781
30,4,0.601,0.439,0.78
1,5,0.601,0.439,0.779
2,5,0.601,0.439,0.778
3,5,0.601,0.439,0.778
4,5,0.601,0.44,0.777
5,5,0.601,0.44,0.776
6,5,0.601,0.44,0.775
7,5,0.601,0.44,0.775
8,5,0.601,0.44,0.774
9,5,0.601,0.44,0.773
10,5,0.602,0.44,0.772
11,5,0.602,0.44,0.772
12,5,0.602,0.44,0.771
13,5,0.602,0.44,0.77
14,5,0.602,0.44,0.77
15,5,0.602,0.44,0.769
16,5,0.602,0.44,0.768
17,5,0.602,0.44,0.768
18,5,0.602,0.44,0.767
19,5,0.602,0.44,0.767
20,5,0.602,0.44,0.766
21,5,0.602,0.44,0.766
22,5,0.602,0.44,0.765
23,5,0.602,0.44,0.765
24,5,0.602,0.44,0.764
25,5,0.602,0.44,0.764
26,5,0.602,0.44,0.764
27,5,0.602,0.439,0.763
28,5,0.602,0.439,0.763
29,5,0.602,0.439,0.763
30,5,0.602,0.439,0.762
31,5,0.602,0.439,0.762
1,6,0.602,0.439,0.762
2,6,0.602,0.439,0.762
3,6,0.602,0.439,0.762
4,6,0.602,0.439,0.762
5,6,0.602,0.439,0.762
6,6,0.602,0.438,0.761
7,6,0.602,0.438,0.761
8,6,0.602,0.438,0.761
9,6,0.602,0.438,0.761
10,6,0.602,0.438,0.761
11,6,0.602,0.438,0.762
12,6,0.602,0.438,0.762
13,6,0.602,0.438,0.762
14,6,0.602,0.438,0.762
15,6,0.602,0.437,0.762
16,6,0.602,0.437,0.762
17,6,0.602,0.437,0.762
18,6,0.602,0.437,0.762
19,6,0.602,0.437,0.763
20,6,0.602,0.437,0.763
21,6,0.602,0.437,0.763
22,6,0.602,0.436,0.763
23,6,0.602,0.436,0.763
24,6,0.602,0.436,0.764
25,6,0.602,0.436,0.764
26,6,0.601,0.436,0.764
27,6,0.601,0.436,0.764
28,6,0.601,0.436,0.764
29,6,0.601,0.435,0.765
30,6,0.601,0.435,0.765
1,7,0.601,0.435,0.765
2,7,0.6,0.435,0.765
3,7,0.6,0.435,0.765
4,7,0.6,0.434,0.766
5,7,0.6,0.434,0.766
6,7,0.599,0.434,0.766
7,7,0.599,0.434,0.766
8,7,0.599,0.434,0.766
9,7,0.598,0.433,0.766
10,7,0.598,0.433,0.766
11,7,0.598,0.433,0.766
12,7,0.597,0.433,0.766
13,7,0.597,0.432,0.767
14,7,0.597,0.432,0.767
15,7,0.596,0.432,0.767
16,7,0.596,0.432,0.766
17,7,0.595,0.431,0.766
18,7,0.595,0.431,0.766
19,7,0.594,0.431,0.766
20,7,0.594,0.43,0.766
21,7,0.593,0.43,0.766
22,7,0.593,0.43,0.766
23,7,0.592,0.429,0.765
24,7,0.592,0.429,0.765
25,7,0.591,0.428,0.765
26,7,0.59,0.428,0.765
27,7,0.59,0.428,0.764
28,7,0.589,0.427,0.764
29,7,0.588,0.427,0.764
30,7,0.588,0.426,0.763
31,7,0.587,0.426,0.763
1,8,0.586,0.425,0.762
2,8,0.586,0.425,0.762
3,8,0.585,0.424,0.761
4,8,0.584,0.424,0.761
5,8,0.583,0.423,0.76
6,8,0.583,0.423,0.76
7,8,0.582,0.422,0.759
8,8,0.581,0.421,0.758
9,8,0.58,0.421,0.758
10,8,0.579,0.42,0.757
11,8,0.578,0.42,0.756
12,8,0.578,0.419,0.755
13,8,0.577,0.418,0.754
14,8,0.576,0.418,0.754
15,8,0.575,0.417,0.753
16,8,0.574,0.416,0.752
17,8,0.573,0.415,0.751
18,8,0.572,0.415,0.75
19,8,0.571,0.414,0.749
20,8,0.57,0.413,0.748
21,8,0.569,0.413,0.747
22,8,0.569,0.412,0.746
23,8,0.568,0.411,0.745
24,8,0.567,0.41,0.744
25,8,0.566,0.409,0.743
26,8,0.565,0.409,0.742
27,8,0.564,0.408,0.741
28,8,0.563,0.407,0.74
29,8,0.562,0.406,0.738
30,8,0.561,0.405,0.737
31,8,0.56,0.405,0.736
1,9,0.558,0.404,0.735
2,9,0.557,0.403,0.734
3,9,0.556,0.402,0.732
4,9,0.555,0.401,0.731
5,9,0.554,0.401,0.73
6,9,0.553,0.4,0.728
7,9,0.552,0.399,0.727
8,9,0.551,0.398,0.725
9,9,0.55,0.397,0.724
10,9,0.549,0.396,0.723
11,9,0.548,0.396,0.721
12,9,0.546,0.395,0.72
13,9,0.545,0.394,0.718
14,9,0.544,0.393,0.717
15,9,0.543,0.392,0.715
16,9,0.542,0.391,0.713
17,9,0.541,0.391,0.712
18,9,0.54,0.39,0.71
19,9,0.538,0.389,0.709
20,9,0.537,0.388,0.707
21,9,0.536,0.388,0.705
22,9,0.535,0.387,0.703
23,9,0.533,0.386,0.702
24,9,0.532,0.385,0.7
25,9,0.531,0.385,0.698
26,9,0.53,0.384,0.696
27,9,0.528,0.383,0.694
28,9,0.527,0.383,0.692
29,9,0.526,0.382,0.69
30,9,0.525,0.381,0.688
1,10,0.523,0.381,0.686
2,10,0.522,0.38,0.684
3,10,0.521,0.379,0.682
4,10,0.519,0.379,0.68
5,10,0.518,0.378,0.678
6,10,0.517,0.377,0.676
7,10,0.515,0.377,0.674
8,10,0.514,0.376,0.671
9,10,0.512,0.376,0.669
10,10,0.511,0.375,0.667
11,10,0.51,0.375,0.664
12,10,0.508,0.374,0.662
13,10,0.507,0.374,0.659
14,10,0.505,0.373,0.657
15,10,0.504,0.373,0.654
16,10,0.502,0.372,0.652
17,10,0.501,0.372,0.649
18,10,0.499,0.372,0.647
19,10,0.498,0.371,0.644
20,10,0.496,0.371,0.641
21,10,0.495,0.371,0.639
22,10,0.493,0.37,0.636
23,10,0.492,0.37,0.633
24,10,0.49,0.37,0.63
25,10,0.489,0.369,0.628
26,10,0.487,0.369,0.625
27,10,0.485,0.369,0.622
28,10,0.484,0.368,0.619
29,10,0.482,0.368,0.616
30,10,0.481,0.368,0.613
31,10,0.479,0.368,0.61
1,11,0.478,0.368,0.607
2,11,0.476,0.367,0.604
3,11,0.475,0.367,0.601
4,11,0.473,0.367,0.598
5,11,0.471,0.367,0.595
6,11,0.47,0.367,0.592
7,11,0.468,0.367,0.589
8,11,0.467,0.366,0.586
9,11,0.465,0.366,0.583
10,11,0.464,0.366,0.58
11,11,0.462,0.366,0.577
12,11,0.461,0.366,0.574
13,11,0.459,0.366,0.571
14,11,0.458,0.366,0.568
15,11,0.456,0.366,0.565
16,11,0.455,0.366,0.562
17,11,0.454,0.366,0.559
18,11,0.452,0.365,0.556
19,11,0.451,0.365,0.553
20,11,0.45,0.365,0.55
21,11,0.448,0.365,0.547
22,11,0.447,0.365,0.544
23,11,0.446,0.365,0.542
24,11,0.445,0.365,0.539
25,11,0.443,0.365,0.536
26,11,0.442,0.365,0.533
27,11,0.441,0.365,0.531
28,11,0.44,0.365,0.528
29,11,0.439,0.365,0.526
30,11,0.438,0.365,0.523
1,12,0.437,0.365,0.521
2,12,0.436,0.365,0.519
3,12,0.435,0.365,0.517
4,12,0.434,0.365,0.515
5,12,0.434,0.365,0.513
6,12,0.433,0.365,0.511
7,12,0.432,0.365,0.509
8,12,0.431,0.365,0.507
9,12,0.431,0.365,0.505
10,12,0.43,0.365,0.504
11,12,0.43,0.365,0.502
12,12,0.429,0.365,0.501
13,12,0.429,0.365,0.5
14,12,0.429,0.365,0.498
15,12,0.428,0.365,0.497
16,12,0.428,0.365,0.496
17,12,0.428,0.365,0.496
18,12,0.428,0.365,0.495
19,12,0.428,0.365,0.494
20,12,0.428,0.365,0.494
21,12,0.428,0.365,0.494
22,12,0.428,0.365,0.493
23,12,0.429,0.365,0.493
24,12,0.429,0.366,0.493
25,12,0.429,0.366,0.493
26,12,0.43,0.366,0.494
27,12,0.43,0.366,0.494
28,12,0.431,0.366,0.495
29,12,0.431,0.366,0.495
30,12,0.432,0.366,0.496
31,12,0.433,0.366,0.497
